timestamp,btc_price,btc_holdings,cash_balance,total_value,total_invested,unrealized_pnl,realized_pnl,total_pnl,roi_percent,avg_cost,total_trades
2026-04-27T22:02:15.713248,77668.82,0.006431152166339,9500,9999.5,500,-0.5,0,-0.5,-0.1,77746.56656656657,1
2026-04-27T13:28:48.294970,77698.56,0.006431152166339,9500,9999.691262465429,500,-0.3087375345731402,0,-0.3087375345730834,-0.0617475069146166,77746.56656656657,1
2026-04-28T00:21:27.630399,77267.33,0.006431152166339,9500,9996.917956716736,500,-3.082043283263488,0,-3.082043283264284,-0.6164086566528567,77746.56656656657,1
2026-04-29T00:09:40.733605,76324.57,0.006431152166339,9500,9990.8549237004,500,-9.145076299601328,0,-9.145076299600987,-1.8290152599201968,77746.56656656657,1
2026-04-30T00:09:44.275841,75756.12,0.006431152166339,9500,9987.199135251443,500,-12.80086474855682,0,-12.800864748556704,-2.560172949711341,77746.56656656657,1
2026-04-30T23:39:15.460310,76311.5,0.006431152166339,9500,9990.770868541586,500,-9.229131458415395,0,-9.229131458414486,-1.845826291682897,77746.56656656657,1
2026-05-01T23:39:11.962927,78102.35,0.012826606336412,9000,10001.788097398672,1000,1.7880973986730169,0,1.7880973986721074,0.1788097398672107,77962.94466145796,2
2026-05-02T23:28:39.475297,78798.03,0.012826606336412,9000,10010.711310894789,1000,10.711310894788085,0,10.711310894788769,1.0711310894788768,77962.94466145796,2
2026-05-03T23:29:50.223328,78658.29,0.012826606336412,9000,10008.918920925338,1000,8.918920925337716,0,8.91892092533817,0.8918920925338171,77962.94466145796,2
2026-05-05T00:10:34.048978,79942.02,0.012826606336412,9000,10025.38482027758,1000,25.384820277580047,0,25.38482027758073,2.538482027758073,77962.94466145796,2
2026-05-05T23:37:05.639958,80842.74,0.012826606336412,9000,10036.938001136914,1000,36.93800113691327,0,36.938001136913954,3.693800113691395,77962.94466145796,2
2026-05-06T23:37:50.858596,81347.99,0.012826606336412,9000,10043.418643988383,1000,43.41864398838538,0,43.41864398838516,4.341864398838516,77962.94466145796,2
2026-05-08T00:07:51.367690,80041.91,0.012826606336412,9000,10026.666069984523,1000,26.666069984524256,0,26.666069984523347,2.6666069984523344,77962.94466145796,2
